X;Y;Z
-0.00001913;0.00000534;-0.00015296
-0.00001901;0.00000534;-0.00015292
-0.00001886;0.00000533;-0.00015276
-0.00001879;0.00000526;-0.00015275
-0.00001871;0.00000517;-0.00015279
-0.00001862;0.00000507;-0.00015274
-0.00001853;0.00000497;-0.00015267
-0.00001847;0.00000483;-0.00015275
-0.00001842;0.00000471;-0.00015276
-0.00001838;0.00000460;-0.00015266
-0.00001833;0.00000455;-0.00015270
-0.00001827;0.00000448;-0.00015276
-0.00001819;0.00000444;-0.00015268
-0.00001821;0.00000438;-0.00015270
-0.00001819;0.00000430;-0.00015282
-0.00001823;0.00000415;-0.00015284
-0.00001825;0.00000395;-0.00015284
-0.00001823;0.00000378;-0.00015296
-0.00001817;0.00000362;-0.00015304
-0.00001813;0.00000344;-0.00015299
-0.00001803;0.00000327;-0.00015303
-0.00001795;0.00000308;-0.00015318
-0.00001786;0.00000287;-0.00015319
-0.00001779;0.00000270;-0.00015320
-0.00001773;0.00000252;-0.00015335
-0.00001767;0.00000240;-0.00015343
-0.00001757;0.00000228;-0.00015342
-0.00001757;0.00000216;-0.00015352
-0.00001751;0.00000207;-0.00015364
-0.00001745;0.00000196;-0.00015366
-0.00001738;0.00000188;-0.00015367
-0.00001727;0.00000180;-0.00015378
-0.00001711;0.00000171;-0.00015383
-0.00001698;0.00000158;-0.00015382
-0.00001686;0.00000140;-0.00015399
-0.00001675;0.00000124;-0.00015415
-0.00001666;0.00000108;-0.00015415
-0.00001658;0.00000099;-0.00015423
-0.00001651;0.00000088;-0.00015440
-0.00001650;0.00000076;-0.00015444
-0.00001648;0.00000067;-0.00015447
-0.00001652;0.00000059;-0.00015463
-0.00001655;0.00000047;-0.00015477
-0.00001660;0.00000036;-0.00015475
-0.00001659;0.00000028;-0.00015485
-0.00001660;0.00000019;-0.00015497
-0.00001658;0.00000013;-0.00015498
-0.00001658;0.00000004;-0.00015502
-0.00001656;-0.00000003;-0.00015518
-0.00001650;-0.00000008;-0.00015522
-0.00001640;-0.00000012;-0.00015515
-0.00001635;-0.00000008;-0.00015519
-0.00001626;-0.00000007;-0.00015527
-0.00001620;-0.00000009;-0.00015519
-0.00001620;-0.00000016;-0.00015526
-0.00001620;-0.00000028;-0.00015546
-0.00001616;-0.00000041;-0.00015554
-0.00001614;-0.00000057;-0.00015561
-0.00001614;-0.00000071;-0.00015583
-0.00001612;-0.00000087;-0.00015597
-0.00001610;-0.00000095;-0.00015599
-0.00001610;-0.00000100;-0.00015606
-0.00001610;-0.00000103;-0.00015617
-0.00001602;-0.00000103;-0.00015613
-0.00001592;-0.00000109;-0.00015613
-0.00001584;-0.00000112;-0.00015625
-0.00001576;-0.00000120;-0.00015630
-0.00001567;-0.00000123;-0.00015625
-0.00001563;-0.00000125;-0.00015633
-0.00001560;-0.00000123;-0.00015639
-0.00001560;-0.00000124;-0.00015634
-0.00001558;-0.00000127;-0.00015637
-0.00001556;-0.00000137;-0.00015654
-0.00001554;-0.00000147;-0.00015658
-0.00001548;-0.00000156;-0.00015662
-0.00001542;-0.00000166;-0.00015673
-0.00001543;-0.00000166;-0.00015679
-0.00001543;-0.00000163;-0.00015667
-0.00001539;-0.00000160;-0.00015670
-0.00001536;-0.00000163;-0.00015679
-0.00001534;-0.00000172;-0.00015682
-0.00001531;-0.00000182;-0.00015683
-0.00001527;-0.00000192;-0.00015701
-0.00001520;-0.00000198;-0.00015707
-0.00001516;-0.00000204;-0.00015703
-0.00001503;-0.00000210;-0.00015709
-0.00001492;-0.00000212;-0.00015715
-0.00001483;-0.00000212;-0.00015709
-0.00001467;-0.00000215;-0.00015706
-0.00001454;-0.00000216;-0.00015717
-0.00001440;-0.00000223;-0.00015719
-0.00001430;-0.00000228;-0.00015715
-0.00001416;-0.00000230;-0.00015722
-0.00001414;-0.00000231;-0.00015726
-0.00001411;-0.00000227;-0.00015715
-0.00001408;-0.00000227;-0.00015715
-0.00001404;-0.00000231;-0.00015725
-0.00001395;-0.00000232;-0.00015721
-0.00001383;-0.00000239;-0.00015719
-0.00001368;-0.00000242;-0.00015729
-0.00001360;-0.00000242;-0.00015731
-0.00001353;-0.00000242;-0.00015726
-0.00001344;-0.00000242;-0.00015731
-0.00001331;-0.00000247;-0.00015739
-0.00001316;-0.00000247;-0.00015737
-0.00001297;-0.00000250;-0.00015735
-0.00001280;-0.00000250;-0.00015745
-0.00001260;-0.00000246;-0.00015745
-0.00001244;-0.00000243;-0.00015738
-0.00001237;-0.00000246;-0.00015747
-0.00001225;-0.00000248;-0.00015758
-0.00001216;-0.00000251;-0.00015753
-0.00001205;-0.00000256;-0.00015759
-0.00001191;-0.00000262;-0.00015774
-0.00001168;-0.00000266;-0.00015785
-0.00001145;-0.00000274;-0.00015788
-0.00001125;-0.00000280;-0.00015808
-0.00001100;-0.00000280;-0.00015817
-0.00001077;-0.00000276;-0.00015810
-0.00001057;-0.00000268;-0.00015814
-0.00001040;-0.00000262;-0.00015825
-0.00001024;-0.00000260;-0.00015822
-0.00001005;-0.00000258;-0.00015824
-0.00000986;-0.00000260;-0.00015842
-0.00000970;-0.00000260;-0.00015853
-0.00000949;-0.00000263;-0.00015856
-0.00000933;-0.00000267;-0.00015873
-0.00000918;-0.00000271;-0.00015889
-0.00000904;-0.00000268;-0.00015890
-0.00000889;-0.00000268;-0.00015897
-0.00000873;-0.00000268;-0.00015910
-0.00000852;-0.00000260;-0.00015916
-0.00000836;-0.00000252;-0.00015912
-0.00000821;-0.00000247;-0.00015920
-0.00000805;-0.00000235;-0.00015924
-0.00000792;-0.00000226;-0.00015914
-0.00000785;-0.00000218;-0.00015917
-0.00000769;-0.00000207;-0.00015928
-0.00000757;-0.00000202;-0.00015924
-0.00000745;-0.00000196;-0.00015926
-0.00000730;-0.00000191;-0.00015944
-0.00000719;-0.00000188;-0.00015952
-0.00000706;-0.00000187;-0.00015949
-0.00000690;-0.00000180;-0.00015962
-0.00000674;-0.00000176;-0.00015976
-0.00000663;-0.00000168;-0.00015973
-0.00000649;-0.00000159;-0.00015977
-0.00000633;-0.00000147;-0.00015992
-0.00000623;-0.00000137;-0.00015992
-0.00000609;-0.00000133;-0.00015992
-0.00000599;-0.00000133;-0.00016013
-0.00000590;-0.00000135;-0.00016032
-0.00000581;-0.00000139;-0.00016036
-0.00000573;-0.00000137;-0.00016045
-0.00000571;-0.00000132;-0.00016053
-0.00000570;-0.00000123;-0.00016046
-0.00000563;-0.00000119;-0.00016045
-0.00000557;-0.00000113;-0.00016062
-0.00000543;-0.00000108;-0.00016078
-0.00000539;-0.00000096;-0.00016073
-0.00000537;-0.00000075;-0.00016068
-0.00000542;-0.00000051;-0.00016061
-0.00000542;-0.00000025;-0.00016041
